标题,时间,详情页链接,字段1
核酸检测价格今起下调,2021-10-26 17:06:20,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F26%2FARTINONUuihj5eVEInbxh2Eq211026.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"本报讯记者杨绪军近日，市医保局会同市卫生健康委市财政局以及市人力社保局，印发关于进一步降低新型冠状病毒核酸检测项目价格的通知，自月日起将本市公立医疗机构新冠病毒核酸检测价格下调。

据市医保局介绍，该价格为最高政府指导价，公立医疗机构不得上浮，但可根据自身情况下浮调整，下浮幅度不限。此外，非公立医保定点医疗机构在为参保人员提供核酸检测服务时也按照上述政策执行。
核酸检测费用是否可以报销？市医保局相关负责人表示，对重点地区重点区域和重点人群集中开展核酸检测属于应检尽检，这类人员新型冠状病毒核酸检测费用由医保基金和财政共同负担，个人无负担。
对于北京市其他基本医疗保险参保人员因疫情防控需要，在本市定点医疗机构发生的新型冠状病毒核酸检测费用，纳入本市基本医疗保险支付范围，按城镇职工和城乡居民基本医疗保险政策规定报销，医保报销后个人自付部分，由个人负担。"
北京海淀富力桃园前三轮全员核酸均为阴,2021-11-15 08:37:16,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F15%2FARTIdEBd1o9pUrhKjEghKasx211115.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"海淀区西三旗街道富力桃园区于月日出现例确诊病例例无症状感染者。北青北京头条记者从海淀区获悉，月日至日，已完成了总计三轮全员核酸检测，结果都是阴性。


因出现新冠肺炎确诊病例，月日，海淀区西三旗街道富力桃园区被定为中风险地区。据悉，富力桃园社区现有户，总人口人。为确保居民的生活不受影响，封控后，西三旗街道第一时间成立战旗党支部，为居民保障生活保供垃圾清运环境消杀核酸检测等。目前，由快递小哥志愿者京东无人配送车组成的支队伍担负收送快递外卖等任务。居民买药购电有社区代跑腿，需要外出送医则有专门绿色通道由及时接送患者。
"
青海降低新冠病毒核酸检测指导价格 最高每次40元,2021-11-19 14:00:20,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F19%2FARTInqucIKJRimxrthXGSsDU211119.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"中新网西宁月日电记者孙睿记者日从青海省医疗保障局获悉，为有效应对新冠肺炎疫情形势变化，控制疫情防控和社会运行成本，降低群众负担，青海省将病原体核糖核酸扩增定性检测指导价格调整为元项，采用人混检和人混检方式的统一调整为元人。
据了解，该价格项目为最高指导价格，不得上浮，下浮幅度不限。单纯进行核酸检测的，公立医疗机构不得收取门诊诊察费，免费提供纸质报告。属于应检尽检的，按规定采用多人混检属于愿检尽检且检测机构单日检测人数较多的，可以应用多人混检，也可按单人单检方式检测并计费。对入境人员密切接触者密接的密接等高风险人员在集中隔离期间严格落实单人单检。
同时，青海省公立医疗机构应当严格执行新型冠状病毒核酸检测价格标准，及时做好信息系统更新维护和价格公示等相关工作。开展混合检测含个人混采检测和政府组织的大规模人群筛查时，据实按混检收取费用，严禁以混检套收单检费用。
此外，各级医疗保障部门要加强价格执行情况的监督检查，督促公立医疗机构严格执行价格管理政策规定，做好价格公示及宣传解释工作。因疫情防控需要，核酸检测人群范围及费用结算，继续按照原规定执行。
青海省医保局表示，新的指导价格自年月日起正式执行。"
宁夏及时扩大核酸检测范围,2021-10-26 15:12:44,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F26%2FARTIeEtHQaO6ShNvSqR3BFqV211026.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"月日，宁夏回族自治区召开新冠肺炎疫情防控工作新闻发布会，介绍有关情况，并答记者问。月日时，宁夏回族自治区新增例本土确诊，银川市例吴忠市例中卫市例。
根据疫情发展走势，及时调整核酸检测策略，启动大规模核酸检测工作。一是提升检测能力。借助第三方检测资源，先后从黑龙江福建辽宁北京河南等地调集辆移动方舱实验室和个气膜实验室。目前，全区可用于大规模核酸检测的检测能力提高到每日万管以上，按混采混检可在两天内完成万人份的检测任务，能够满足大规模核酸检测需求。二是加强资源统筹。全力支持银川市三区青铜峡市利通区开展全员核酸检测，建立国家工作指导组自治区应对疫情工作指挥部卫生健康委市县区五级联动和大数据信息化支持的工作模式，从全区统筹调配采样人员核酸检测设备检测试剂，集中支援检测地区，仅银川市就调集全区采样人员多人检验人员名信息技术专家余名，保障检测工作顺利开展。三是强化现场指导。自治区卫生健康委主要领导带队到银川市青铜峡市利通区指导全员核酸检测工作，现场调度协调专业队伍和检测资源，同时组建余支核酸采样核酸检测技术指导组，对各地全员核酸检测采样送样检测报告等工作进行巡回指导和驻点监督，确保检测质量和安全。截至月日，银川市辖三区累计采样万人份检测结果均为阴性，利通区采样万人份青铜峡市采样万人份，两地已检出万人份，均为阴性。"
甘肃天水3名卫校学生核酸阳性：均参加过核酸检测志愿服务,2021-10-30 18:16:08,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F10%2F30%2FARTIwMDlAnkBT8qQTu052CYd211030.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"年月日秦州区疾控中心报告三例秦州区新冠肺炎核酸检测初筛阳性感染者，经天水市人民医院诊断为新冠肺炎确诊病例，现将其活动轨迹通报如下

病例张某某，女，岁，家庭住址天水市麦积区石佛镇张坪村，现住址天水市卫生学校学生宿舍，系天水市卫校学生。

年月日点分前在学校，点分从学校乘路车到兰天广场，换乘路车点到麦积区中滩镇其父租住民房过夜，月日上午坐父亲摩托车回石佛镇张坪村家中，点左右坐父亲摩托车至中滩镇，乘路车至秦州区兰天广场，换乘路公交于点返回学校。日日时前在校未外出，日时乘路车到兰天城市广场，与朋友夏某某步行至百货大楼藉河风情线红桥散步，随后返回龙城广场公交站，时乘路车返校，日日点分前在校未外出，日点分与同班同学乘校车前往麦积区，点分入住麦积区地质宾馆，由麦积镇政府派车接往麦积镇宏罗村参加核酸采样志愿服务。时晚饭后一直工作至日凌晨时结束，点左右返回地质宾馆休息，日点分由地质宾馆到达宏罗村开展核酸采样工作至点左右结束，时由地质宾馆乘麦积镇政府车辆于日凌晨点左右返回天水市卫校，返校后至点分在校实验室整理采集的样本，点分坐麦积镇政府车辆于时返回地质宾馆休息，点分早餐后前往宏罗村继续采样，点在宏罗村采样点附近酒店就餐后返回地质宾馆休息，点左右乘校车于点左右返回学校宿舍，再未外出。
病例张某，男，岁，家庭住址甘肃省陇南市成县城关镇农贸市场对面，现住址天水市卫生学校学生宿舍楼，系天水市卫生学校学生。

年月日日在校未外出，月日点乘出租车到兰天广场旁巷道内买水果，点左右乘坐路公交车经南门返回学校，日点分前在校未外出，点分在学校门口洗澡堂洗浴校门口仅一家洗澡堂，后返校再无外出。日日点前一直在学校未外出。月日点乘大巴前往麦积区天嘉宾馆会议室参加培训，点分在麦积区社棠镇镇政府食堂用餐，点左右乘镇政府安排的车辆前往社棠镇柏林村参与核酸采样志愿服务，工作至日凌晨点左右，结束后支援柏林村另一采样点。日点左右前往社棠镇政府送核酸采集样本，点由政府工作人员送回麦积区地质宾馆。月日点分与同学坐大巴点左右到达社棠镇政府，点乘村干部车辆在柏林村开展核酸采样志愿服务，午餐晚餐都与工作人员及村干部在村委会就餐，工作至点乘商务车回社棠镇政府送核酸样本，日点左右回到麦积区地质宾馆休息。月日点在地质宾馆二楼宴会厅就餐，饭后在大厅排队等待核酸采样，点乘大巴返回学校。

病例何某，男，岁，家庭现住址天水市秦州区永红家园，系天水市卫生学校学生。

年月日月日在天水市卫生学校未外出，月日上午在校，中午放学后回家永红家园，于点去南山体育场，点半返回家中。月日点前在家，于点返回学校。月日月日点前在校未外出，于日点乘大巴去往麦积区天嘉宾馆会议室参加培训，点分在麦积区社棠镇镇政府食堂用餐，点分去社棠镇李家渠村参与核酸采样志愿服务，月日点结束采样活动，核酸样本送往社棠镇政府后回麦积区地质宾馆。月日中午在地质宾馆午餐后，在一楼大厅等待核酸采样，点乘大巴于时返回学校，再未外出。

秦州区新冠肺炎疫情联防联控领导小组办公室已按要求对张某某张某何某活动轨迹进行流行性病学调查，对与其接触人员展开追踪和管控，对相关场所采取封闭式管理并进行消杀等措施。

当前，国内疫情形势严峻紧张，多个省份散发本土病例。抗击疫情需要广大市民朋友的支持配合与参与，在此，提示广大市民朋友
一立即报备进行检测。与确诊病例活动轨迹有交集的市内外人员，需主动向所在社区单位进行报备，并配合社区疾控机构主动落实核酸检测隔离监测健康监测等管控措施。特别是在年月日月日确诊病例开展核酸采样志愿活动期间与病例有过接触的相关人员，立即向疾控机构申报，并主动向社区报备，迅速进行核酸检测。

二严格进行健康观察。密切观察个人健康状况，一旦出现发热干咳乏力嗅觉味觉减退鼻塞流涕咽痛结膜炎肌痛和腹泻等不适症状，请立即前往发热门诊或定点医疗机构就诊，并如实告知个人旅居史，就诊途中要全程佩戴口罩。

三做好个人防护。广大市民要按照省市疫情联防联控领导小组办公室安排，积极参与到群防群控工作中来，自觉服从和遵守社区防疫规定，落实常态化疫情防控措施，主动做好个人防护，正确规范佩戴口罩，做到非必要不外出，坚持勤洗手常通风不扎堆不聚集不信谣不传谣，养成用公筷公勺保持米线安全社交距离等良好卫生习惯。

咨询电话

秦州区疾病预防控制中心

麦积区疾病预防控制中心

天水市疾病预防控制中心

秦州区新冠肺炎疫情联防联控
领导小组办公室

年月日"
成都理工大学第六轮核酸检测结果全部为阴性,2021-11-19 11:31:02,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F19%2FARTIxS9HPU7FKcwpMeNceNjH211119.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"月日，在成华区卫健委的大力支持下，在学校的精心组织下，成都理工大学完成第六轮全员核酸检测，共检测人，结果全部为阴性。截止到目前，成都理工大学于月日月日月日月日月日月日共进行了六轮全员核酸检测，六轮结果全部为阴性，校区教学生活秩序正常。
"
伪造核酸检测报告、强行闯卡……齐齐哈尔本轮战“疫”7人被罚,2021-11-18 10:19:20,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F18%2FARTILhW3myPei9us1NRnLqpY211118.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"违规组织补课的杨某艳被行政拘留五日。
央视网消息记者李文学报道员李子成刘志雁刘本财疫情防控期间总有人不守规矩。近日，在黑龙江省齐齐哈尔，就有人因伪造核酸检测报告擅自发布涉疫信息强行闯卡被处罚。
月日夜晚，一辆哈尔滨市途经齐齐哈尔拜泉县的出租车擅自撕毁封条。拜泉县公安局龙泉派出所民警迅速赶到现场，发现驾驶员朱某某核酸检测报告照片存在疑点，时间处的字体较黑，与报告上的其他文字略有不同，与电子版核酸检测报告日期相差了好几天。朱某某最终承认了使用伪造核酸报告企图蒙混过关和擅自撕毁封条的违法行为。
月日，拜泉县公安局三道镇派出所接到群众报警，称某商铺内有人组织补课。民警将违法行为人杨某艳非教师传唤至办案区。杨某艳承认违反县疫情防控指挥部公告组织名小学生补课的违法行为，被处以行政拘留五日的行政处罚。
有辆水泥罐车闯卡，正向省道行驶，前方注意拦截。月日时许，黑蒙交界渠首疫情防控检查站执勤人员发现一辆红色水泥罐车闯卡离开。甘南县公安局查哈阳派出所立即出警拦截，在省道米处将水泥罐车成功控制。
就在警方处理水泥罐车闯卡的同时，又有一辆吉利轿车没接受卡口检查，闯卡驶向省道，宝山派出所接到线索后立即出警将其拦截。随后查哈阳宝山派出所民警将杜某和候某口头传唤至派出所内接受调查，二人均承认自己的闯卡行为，并接受了行政处罚。
在疫情防控期间，龙江县网民张某郭某某以及张某某在网上擅自发布涉疫情信息，造成了不良的社会影响。在县公安局网安大队的协助下，龙江县网信办第一时间责令名当事人立即删除不当言论信息。同时对名当事人进行训诫约谈。三人认识到了错误，表示今后一定加强对法律法规的学习，严格守法。"
全员核酸检测结果阴性 北京海淀科源社区11号楼2单元解封,2021-11-15 15:47:50,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F15%2FARTINcVk001XycKL6bXaehpt211115.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"海淀区中关村街道消息，科源社区号楼单元核酸检测结果已出，所有检测人员均为阴性。已请示海淀区疾控，单元解封。
此前，科源社区号楼单元一居民接到内蒙古锡林郭勒警方电话，称当地陆续检测出快递包裹有阳性。该居民曾于月日收到的来自该地区的快递包裹。该居民主动上报。月日下午，该居民收到的包裹内包装检测出阳性。
月日凌晨点半，中关村街道和科源社区居委会启动应急响应，对号楼采取封闭措施。月日点半开始，对号楼进行全员核酸检测及外环境核酸检测。
截至目前，除包裹内包装外，其余人员和环境检测结果均为阴性。号楼个单元已全部解封。"
多检测早发现 云南瑞丽10月以来核酸检测达369万人次,2021-11-15 10:55:05,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F15%2FARTIRTv0m4tZ2sVCO0ctT5uH211115.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"新华社昆明月日电记者林碧锋庞明广云南省瑞丽市政府日发布消息，在中央省州大力支持下，瑞丽市抗疫医疗设施日益完善，患者救治和核酸检测能力稳步提升。今年月瑞丽市新一轮疫情发生以来，已累计开展核酸检测万人次，为及早发现疫情及早控制传染源奠定了基础。
今年月日以来，瑞丽市发生境外多点输入引发的新一轮本土疫情。截至月日，瑞丽市本轮疫情共报告新冠病毒核酸阳性例含确诊病例和无症状感染者。
目前来说，及时发现疫情的最有效手段就是核酸检测。云南省疾控中心主任宋志忠介绍，如果不及时开展检测，就不能及早发现疫情，就可能发生规模性社区传播。
为落实早发现要求，瑞丽市科学制定核酸检测方案，对抵边村寨重点人群隔离点等工作人员三天一检，商超农贸市场等从业人员七天一检，外籍人员及重点区域十四天一检，全市常态化一月一检。
目前，瑞丽市实际居住人口约万人，已具备一天完成一轮全员核酸检测的能力。瑞丽市卫生健康局副局长刘江介绍，自月日新一轮本土疫情发生以来，瑞丽市已累计开展核酸检测万人次。
德宏州委书记姜山介绍，德宏州本轮疫情传播链多，但传播链短，每条链传播仅为至代，平均每条链天就得到有效阻断。截至日，全州尚有例感染者在院治疗，无重症患者，住院治疗患者恢复良好。"
石家庄晋州全员核酸检测均为阴性,2021-11-03 11:59:40,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F03%2FARTIeHyn7IHQjmBHR7q9BRRV211103.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,今天时，石家庄市召开新冠肺炎疫情防控工作新闻发布会，介绍疫情防控最新情况并答记者问。会上通报，晋州市对万名常住人口进行全员核酸检测。对发现确诊病例的重点村，以及密接次密接等人员涉及到的村和小区，全部入户上门进行核酸采样，严防疫情扩散。目前，核酸检测结果全部为阴性。
北京铁路：正在研究核酸检测证明、北京健康宝信息等纳入检票系统,2021-11-17 10:37:23,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F17%2FARTIHtfDxYxKttDl9W9cai4U211117.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,今天月日零时起，根据首都严格进京管理联防联控协调机制要求，铁路部门对乘车进京旅客进行小时核酸检测阴性证明远端查验，共涉及抵京的个车站。据中国铁路北京局集团有限公司疫情防控办公室消息，目前，为方便旅客更快乘车，铁路部门和北京市正在着手对核酸检测证明北京健康宝和购票乘车信息进行后台信息整合，未来可在检票机上实现多个证明一次查验。
11月28日国考笔试，北京考区考生需持48小时内核酸报告,2021-11-17 14:25:08,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F17%2FARTIwBIFVnOT5WyzY5tNADWI211117.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,"年国家公务员考试将于本月日进行公共科目笔试。考生需持首场考试前小时内采样的核酸检测阴性报告，方可进入考点。
北京考区中央机关及其直属机构年度考试录用公务员笔试疫情防控温馨提示月日发布。
考生在备考期间，要做好自我防护，避免与新冠肺炎确诊病例疑似病例无症状感染者及中高风险地区人员接触避免去人群流动性较大人群密集的场所聚集不参加聚会聚餐。考试期间应尽量保持考点住所两点一线。
请考生提前申领北京健康宝，查询自身健康状态。考试当天经现场测量体温正常北京健康宝为未见异常，且持本人首场考试前小时内采样的核酸检测阴性报告，方可进入考点。核酸检测报告须为全国范围内具有新冠肺炎病毒检测资质的机构出具的纸质或电子报告，提供的报告上须准确显示采样时间，要精确到小时。
为保证能够顺利参考，请考生提前预约核酸检测服务。考三科的考生须提供月日下午点以后采样的核酸检测报告，考两科的考生须提供月日上午点以后采样的核酸检测报告。
考试当天预留足够时间，确保至少考前分钟到达考点，并尽量选择公共交通前往。考生应自备若干一次性医用口罩或无呼吸阀的口罩，在考点全程佩戴口罩，保持米以上的间隔距离，身份核验时可短暂摘下口罩，积极配合考点工作人员做好防疫相关工作。
所有送考陪考人员一律不得进入考点。考试期间，考生应自觉维护考试秩序，服从现场工作人员安排。考试结束后，考生应按照楼层分布分批离开考点，不得在考场考点附近聚集。
考试防疫相关要求将根据国家和首都疫情防控措施规定的变化随时调整，请考生及时关注市人事考评办公室最新通知，并保持手机畅通，以免影响正常参考。"
北京冬奥会测试赛例行核酸检测发现阳性人员，已按程序处理,2021-11-18 12:37:08,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2021%2F11%2F18%2FARTIecqOMIRcEb2tidBpBpvE211118.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E6%A0%B8%E9%85%B8%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D3,